name,location,date,time,more_info,tags
National Outdoor Sculpture Competition and Exhibition,"North Charleston Riverfront Park, North Charleston, SC",2026-06-21,9:00 AM,https://www.northcharlestonartsfest.com/national-outdoor-sculpture-competition-exhibition,"Visual Arts, Mixed Media Art"
Jurassic Seas at the South Carolina Aquarium,"South Carolina Aquarium, Charleston, SC",2026-06-21,9:00 AM,https://eventvesta.com/events/147446/t/tickets,"Destinations, Museums & Exhibits"
Gracious Day,"Henry's On The Market, Charleston, SC",2026-06-21,9:30 PM,https://henrysonthemarket.com/charleston-henry-s-on-the-market-music-calendar,"Performing Arts, Music, Country, Concerts"
⚽ FIFA World Cup 2026 Watch Party At Republic Garden & Lounge,"Republic Garden & Lounge, Charleston, SC",2026-06-22,,,"Food & Drink, Sports & Outdoors, Sports, Soccer"
⚽ FIFA World Cup Watch Parties at Lamar's!,"Lamar's, Charleston, SC",2026-06-22,,https://lamarssportingclub.com/,"Food & Drink, Sports & Outdoors, Sports, Soccer"
Summer Movie Express at Regal Cinema,"Mt. Pleasant Towne Centre, Mount Pleasant, SC",2026-06-22,,https://www.mtpleasanttownecentre.com/events/summer-movie-express-at-regal-cinema/,"Visual Arts, Film, Special Audience, Family, Performing Arts, Music, Food & Drink, Food"
Jazz Combo Camp: It's Electric,"Charleston Jazz Academy, Charleston, SC",2026-06-22,,https://charlestonjazz.com/event/jazz-combo-camp-2026-week2/,"Performing Arts, Music, Jazz"
Renee Kahn Memorial Retrospective,"Kahal Kadosh Beth Elohim, Charleston, SC",2026-06-22,10:00 AM,https://www.reneekahnfineart.com/event/235934/renee-kahn-memorial-charity-retrospective,"Arts, Destinations, Museums & Exhibits, Civic Benefit, Fundraisers"
Mobile Library - Daniel Point,"Daniel Island Library, Daniel Island, SC",2026-06-22,10:30 AM,https://berkeleylibrarysc.libcal.com/event/16849715,"Literary Arts, Special Audience, Seniors, Civic Benefit, Lifestyle, Personal Finance"
Maria Britton: SECOND SLEEP & In Kyoung Chun: MAKE ROOM,"Halsey Institute of Contemporary Art, Charleston, SC",2026-06-22,11:00 AM,https://halsey.charleston.edu/exhibitions/,"Visual Arts, Art Museums, Painting, Drawing & Painting, Museums & Exhibits, Destinations"
Callaway Golf Club Fitting,"Tommy Cuthbert Golf Learning Center, Kiawah Island, SC",2026-06-22,11:00 AM,https://www.facebook.com/events/923159940783287/,"Sports & Outdoors, Sports, Golf"
